,question,answer,,,,,,,,,
73,What do you mean by Deep Learning? ,Deep Learning is nothing but a paradigm of machine learning which has shown incredible promise in recent years. This is because of the fact that Deep Learning shows a great analogy with the functioning of the human brain.,,,,,,,,,
74,What is the difference between machine learning and deep learning?,"Machine learning is a field of computer science that gives computers the ability to learn without being explicitly programmed. Machine learning can be categorised in the following three categories. 1. Supervised machine learning, 2. Unsupervised machine learning, 3. Reinforcement learning Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks.",,,,,,,,,
75,"What, in your opinion, is the reason for the popularity of Deep Learning in recent times?","Now although Deep Learning has been around for many years, the major breakthroughs from these techniques came just in recent years. This is because of two main reasons: The increase in the amount of data generated through various sources The growth in hardware resources required to run these models GPUs are multiple times faster and they help us build bigger and deeper deep learning models in comparatively less time than we required previously.",,,,,,,,,
76,Explain Neural Network Fundamentals,"A neural network in data science aims to imitate a human brain neuron, where different neurons combine together and perform a task. It learns the generalizations or patterns from data and uses this knowledge to predict output for new data, without any human intervention. The simplest neural network can be a perceptron. It contains a single neuron, which performs the 2 operations, a weighted sum of all the inputs, and an activation function. More complicated neural networks consist of the following 3 layers- 1. Input Layer??It receives the input 2. Hidden Layer-These are the layers between the input and output layers. The initial hidden layers generally help detect low level patterns, while the further layers combine output from previous layers to find more patterns. 3. Output Layer??the output layer is the final layer that outputs the prediction.",,,,,,,,,
77,What is reinforcement learning?,"Reinforcement Learning is learning what to do and how to map situations to actions. The end result is to maximise the numerical reward signal. The learner is not told which action to take but instead must discover which action will yield the maximum reward. Reinforcement learning is inspired by the learning of human beings, it is based on the reward/penalty mechanism.",,,,,,,,,
78,What are Artificial Neural Networks?,Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning. They are inspired by biological neural networks. Neural Networks can adapt to changing the input so the network generates the best possible result without needing to redesign the output criteria.,,,,,,,,,
79,Describe the structure of Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural Network. It consists of inputs which get processed with weighted sums and Bias, with the help of Activation Functions.",,,,,,,,,
80,How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly. Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless. Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method.",,,,,,,,,
81,What Is the Cost Function?,"Also referred to as ?�loss??or ?�error,??cost function is a measure to evaluate how good your model?�s performance is. It?�s used to compute the error of the output layer during backpropagation. We push that error backwards through the neural network and use that during the different training functions.",,,,,,,,,
82, What Are Hyperparameters?,"With neural networks, you?�re usually working with hyperparameters once the data is formatted correctly. A hyperparameter is a parameter whose value is set before the learning process begins. It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, etc.).",,,,,,,,,
83,What Will Happen If the Learning Rate Is Set inaccurately (Too Low or Too High)?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights. It will take many updates before reaching the minimum point. If the learning rate is set too high, this causes undesirable divergent behaviour to the loss function due to drastic updates in weights. It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train).",,,,,,,,,
84,"What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?","Epoch ??Represents one iteration over the entire dataset (everything put into the training model). Batch ??Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches. Iteration ??if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50).",,,,,,,,,
85,What Are the Different Layers on CNN?,"There are four layers in CNN: 1. Convolutional Layer ??the layer that performs a convolutional operation, creating several smaller picture windows to go over the data. 2. ReLU Layer ??it brings non-linearity to the network and converts all the negative pixels to zero. The output is a rectified feature map. 3. Pooling Layer ??pooling is a down-sampling operation that reduces the dimensionality of the feature map. 4. Fully Connected Layer ??this layer recognizes and classifies the objects in the image.",,,,,,,,,
86,"What Is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.,,,,,,,,,
87, What are Recurrent Neural Networks(RNNs)?,"RNNs are a type of artificial neural networks designed to recognise the pattern from the sequence of data such as Time series, stock market and government agencies etc. To understand recurrent nets, first, you have to understand the basics of feedforward nets. Both these networks RNN and feed-forward named after the way they channel information through a series of mathematical orations performed at the nodes of the network. One feeds information through straight(never touching the same node twice), while the other cycles it through a loop, and the latter are called recurrent. Recurrent networks, on the other hand, take as their input, not just the current input example they see, but also the what they have perceived previously in time. The decision a recurrent neural network reached at time t-1 affects the decision that it will reach one moment later at time t. So recurrent networks have two sources of input, the present and the recent past, which combine to determine how they respond to new data, much as we do in life. The error they generate will return via backpropagation and be used to adjust their weights until error can?�t go any lower. Remember, the purpose of recurrent nets is to classify sequential input accurately. We rely on the backpropagation of error and gradient descent to do so.",,,,,,,,,
88,How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behaviour. There are three steps in an LSTM network: Step 1: The network decides what to forget and what to remember. Step 2: It selectively updates cell state values. Step 3: The network decides what part of the current state makes it to the output.",,,,,,,,,
89,What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes. Except for the input layer, each node in the other layers uses a nonlinear activation function. This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output. MLP uses a supervised learning method called ?�backpropagation.??In backpropagation, the neural network calculates the error with the help of cost function. It propagates this error backward from where it came (adjusts the weights to train the model more accurately).",,,,,,,,,
90,How can time-series data be declared as stationery?,"When the key parameters of the time series data don?�t vary with time, the time series is declared as stationary. These parameters may be mean or variance. There are no trends or seasonal effects in stationary times series. The Data science models need stationary time series data. The below figure shows a stationary time series.",,,,,,,,,
91,Explain Gradient Descent.,"To Understand Gradient Descent, Let?�s understand what is a Gradient first. A gradient measures how much the output of a function changes if you change the inputs a little bit. It simply measures the change in all weights with regard to the change in error. You can also think of a gradient as the slope of a function. Gradient Descent can be thought of climbing down to the bottom of a valley, instead of climbing up a hill. This is because it is a minimization algorithm that minimizes a given function (Activation Function).",,,,,,,,,
92,What is exploding gradients?,"While training an RNN, if you see exponentially growing (very large) error gradients which accumulate and result in very large updates to neural network model weights during training, they?�re known as exploding gradients. At an extreme, the values of weights can become so large as to overflow and result in NaN values. This has the effect of your model is unstable and unable to learn from your training data.",,,,,,,,,
93,What is vanishing gradients?,"While training an RNN, your slope can become either too small; this makes the training difficult. The problem is known as a Vanishing Gradient when the slope is too small. It leads to long training times, poor performance, and low accuracy.",,,,,,,,,
94, What is Back Propagation and Explain it?�s Working.,"Backpropagation is a training algorithm used for multilayer neural network. In this method, we move the error from an end of the network to all weights inside the network, thus allowing efficient gradient computation. It has the following steps: Forward Propagation of Training Data Derivatives are computed using output and target Back Propagate for computing derivative of error wrt output activation Using previously calculated derivatives for output Update the Weights",,,,,,,,,
95,What are the variants of Back Propagation?,"Stochastic Gradient Descent: We use only a single training example for calculation of gradient and update parameters. Batch Gradient Descent: We calculate the gradient for the whole dataset and perform the update at each iteration. Mini-batch Gradient Descent: It?�s one of the most popular optimization algorithms. It?�s a variant of Stochastic Gradient Descent and here instead of single training example, mini-batch of samples is used.",,,,,,,,,
96,What is the role of the Activation Function?,The Activation function is used to introduce non-linearity into the neural network helping it to learn more complex function. Without which the neural network would be only able to learn linear function which is a linear combination of its input data. An activation function is a function in an artificial neuron that delivers an output based on inputs.,,,,,,,,,
97,What is an Auto-Encoder? ,"Auto-encoders are simple learning networks that aim to transform inputs into outputs with the minimum possible error. This means that we want the output to be as close to input as possible. We add a couple of layers between the input and the output, and the sizes of these layers are smaller than the input layer. The auto-encoder receives unlabelled input which is then encoded to reconstruct the input.",,,,,,,,,
98,What is a Boltzmann Machine? ,Boltzmann machines have a simple learning algorithm that allows them to discover interesting features that represent complex regularities in the training data. The Boltzmann machine is basically used to optimise the weights and the quantity for the given problem. The learning algorithm is very slow in networks with many layers of feature detectors. ?�Restricted Boltzmann Machines??algorithm has a single layer of feature detectors which makes it faster than the rest.,,,,,,,,,
99,What Is Dropout and Batch Normalization?,Dropout is a technique of randomly dropping out hidden and visible units of a network to prevent overfitting of data (typically dropping 20 per cent of the nodes). It doubles the number of iterations needed to converge the network. Batch normalization is the technique to improve the performance and stability of neural networks by normalizing the inputs in every layer so that they have mean output activation of zero and standard deviation of one.,,,,,,,,,
100,Why Is Tensorflow the Most Preferred Library in Deep Learning?,"Tensorflow provides both C++ and Python APIs, making it easier to work on and has a faster compilation time compared to other Deep Learning libraries like Keras and Torch. Tensorflow supports both CPU and GPU computing devices.",,,,,,,,,
101,What Do You Mean by Tensor in Tensorflow?,A tensor is a mathematical object represented as arrays of higher dimensions. These arrays of data with different dimensions and ranks fed as input to the neural network are called ?�Tensors.??https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,,,,,,,,,
102,What is the Computational Graph?,"Everything in a tensorflow is based on creating a computational graph. It has a network of nodes where each node operates, Nodes represent mathematical operations, and edges represent tensors. Since data flows in the form of a graph, it is also called a ?�DataFlow Graph.??,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/
103,What is Selection Bias and what are the various types?,Selection bias is typically associated with research that doesn?�t have a random selection of participants. It is a type of error that occurs when a researcher decides who is going to be studied. On some occasions",, selection bias is a distortion of statistical analysis that results from the sample collecting method. When selection bias is not taken into account, some conclusions made by a research study might not be accurate. The following are the various types of selection bias: Sampling Bias: A systematic error resulting due to a non-random sample of a populace causing certain members of the same to be less likely to be included than others results in a biased sample Time Interval: A trial might end at an extreme value, usually due to ethical reasons, but the extreme value is most likely to be reached by the variable with the most variance, even though all variables have a similar mean Data: Results when specific data subsets are selected for supporting a conclusion or rejection of bad data arbitrarily Attrition: Caused due to attrition, i.e. loss of participants," discounting trial subjects or tests that didn?�t run to completion""",https://hackr.io/blog/data-science-interview-questions
104,What is the goal of A/B Testing?,"A/B Testing is a statistical hypothesis testing meant for a randomized experiment with two variables, A and B. The goal of A/B Testing is to maximize the likelihood of an outcome of some interest by identifying any changes to a webpage. A highly reliable method for finding out the best online marketing and promotional strategies for a business, A/B Testing can be employed for testing everything, ranging from sales emails to search ads and website copy.",,,,,,,,,
105,"Between Python and R, which one would you pick for text analytics, and why?","For text analytics, Python will gain an upper hand over R due for the following reasons: The Pandas library in Python offers easy-to-use data structures as well as high-performance data analysis tools Python has a faster performance for all types of text analytics",,,,,,,,,
106,What is the purpose of data cleaning in data analysis?,"Data cleaning can be a daunting task due to the fact that as the number of data sources grows, the time required for cleaning the data increases at an exponential rate. This is due to the vast volume of data generated by additional sources. Data cleaning can solely take up to 80% of the total time required for carrying out a data analysis task. Nevertheless, there are several reasons for using data cleaning in data analysis. Two of the most important ones are: Cleaning data from different sources helps transform the data into a format that is easy to work with Data cleaning increases the accuracy of a machine learning model",,,,,,,,,
107,Can you compare the validation set with the test set?,A validation set is part of the training set used for parameter selection. It helps avoid overfitting the machine learning model being developed. A test set is meant for evaluating or testing the performance of a trained machine learning model.,,,,,,,,,
108,What are linear regression and logistic regression?,"Linear regression is a form of statistical technique in which the score of some variable Y is predicted on the basis of the score of a second variable X, referred to as the predictor variable. The Y variable is known as the criterion variable. Also known as the logit model, logistic regression is a statistical technique for predicting the binary outcome from a linear combination of predictor variables.",,,,,,,,,
109,Explain Recommender Systems and state an application.,"Recommender Systems is a subclass of information filtering systems, meant for predicting the preferences or ratings awarded by a user to some product. An application of a recommender system is the product recommendations section in Amazon. This section contains items based on the user?�s search history and past orders.",,,,,,,,,
110,What are the steps involved in an analytics project?,"The following are the numerous steps involved in an analytics project: Understanding the business problem Exploring the data and understanding it Preparing the data for modeling by means of detecting outlier values, transforming variables, treating missing values, et cetera Running the model and analyzing the result for making appropriate changes or modifications to the model (an iterative step that repeats until the best possible outcome is reached) Validating the model using a new dataset Implementing the model and tracking the result for analyzing the performance of the same",,,,,,,,,
111,What is Deep Learning?,"Deep Learning is a paradigm of machine learning that resembles, to a certain extent, the functioning of the human brain. It is a neural network method based on convolutional neural networks (CNN). Deep learning has a wide array of uses, ranging from social network filtering to medical image analysis and speech recognition. Although Deep Learning has existed for a long time, it?�s only recently gained worldwide exposure. This is mainly due to: An increase in the amount of data generation The growth in hardware resources required for running Deep Learning models Caffe, Chainer, Keras, Microsoft Cognitive Toolkit, Pytorch, and TensorFlow are some of the most popular Deep Learning frameworks.",,,,,,,,,
112,What is Gradient Descent?,"The gradient descent algorithm is represented by the blue line In simple terms, gradient descent is a mathematical function that makes its way down to the bottom of a valley. It is a minimization algorithm meant for minimizing a given activation function. The degree of change in the output of a function with respect to the changes made to the inputs is known as a gradient. It measures the change in all weights with respect to the change in error. A gradient can also be comprehended as the slope of a function.",,,,,,,,,
113,What is Dropout?,"Dropout is a toll in data science, which is used for dropping out hidden and visible units of a network on a random basis. They prevent overfitting of the data by dropping as much as 20% of the nodes so that the required space can be arranged for iterations needed to converge the network.",,,,,,,,,
114,What is an Epoch?,Epoch in data science represents one iteration over the entire dataset. It includes everything that is applied to the learning model.,,,,,,,,,
115,What is a Batch?,"A batch is a series of broken-down collections of the data set, which help pass the information into the system. It is used when the developer cannot pass the entire dataset into the neural network at once.",,,,,,,,,
116, What is an iteration? State an example.,"An iteration is a classification of the data into different groups, applied within an epoch. For example, when there are 50,000 images, and the batch size is 100, the Epoch will run about 500 iterations.",,,,,,,,,
117,What is the cost function?,"Cost functions are a tool to evaluate how good the model?�s performance is. It takes into consideration the errors and losses made in the output layer during the backpropagation process. In such a case, the errors are moved backward in the neural network, and various other training functions are applied.",,,,,,,,,
118,What are hyperparameters?,"Hyperparameters are a kind of parameter whose value is set before the learning process so that the network training requirements can be identified and the structure of the network improved. This process includes recognizing hidden units, learning rate, and epochs, among other things.",,,,,,,,,
119,Explain overfitting and underfitting.,"In order to make reliable predictions on untrained data in machine learning and statistics, it is required to fit a model to a set of training data. Overfitting and underfitting are two of the most common modeling errors that occur while doing so. A statistical model suffering from overfitting relates to some random error or noise in place of the underlying relationship. When a statistical model or machine learning algorithm is excessively complex, it can result in overfitting. An example of a complex model is one having too many parameters when compared to the total number of observations. When underfitting occurs, a statistical model or machine learning algorithm fails in capturing the underlying trend of the data. Underfitting occurs when trying to fit a linear model to non-linear data. Although both overfitting and underfitting yield poor predictive performance, the way in which each one of them does so is different. While the overfitted model overreacts to minor fluctuations in the training data, the underfit model under-reacts to even bigger fluctuations.",,,,,,,,,
120, What is batch normalization?,Batch normalization is a technique through which attempts could be made to improve the performance and stability of the neural network. This can be done by normalizing the inputs in each layer so that the mean output activation remains 0 with the standard deviation at 1.,,,,,,,,,
121,What do you mean by cluster sampling and systematic sampling?,"Studying the target population spread throughout a wide area can become difficult. Applying simple random sampling becomes ineffective, the technique of cluster sampling is used. A cluster sample is a probability sample, in which each of the sampling units is a collection or cluster of elements. Following the technique of systematic sampling, elements are chosen from an ordered sampling frame. The list is advanced in a circular fashion. This is done in such a way so that once the end of the list is reached, the same is progressed from the start, or top, again.",,,,,,,,,
122, What are Eigenvectors and Eigenvalues?,"Eigenvectors help in understanding linear transformations. They are calculated typically for a correlation or covariance matrix in data analysis. In other words, eigenvectors are those directions along which some particular linear transformation acts by compressing, flipping, or stretching. Eigenvalues can be understood either as the strengths of the transformation in the direction of the eigenvectors or the factors by which the compressions happen.",,,,,,,,,
123,What are outlier values and how do you treat them?,"Outlier values, or simply outliers, are data points in statistics that don?�t belong to a certain population. An outlier value is an abnormal observation that is very much different from other values belonging to the set. Not all extreme values are outlier values. Identification of outlier values can be done by using univariate analysis, or some other graphical analysis method. Few outlier values can be assessed individually but assessing a large set of outlier values requires the substitution of the same with either the 99th or the 1st percentile values. There are two popular ways of treating outlier values: To change the value so that it can be brought within a range To simply remove the value",,,,,,,,,
124,How do you define the number of clusters in a clustering algorithm?,"The primary objective of clustering is to group together similar identities in such a way that while entities within a group are similar to each other, the groups remain different from one another. Generally, the Within Sum of Squares is used for explaining the homogeneity within a cluster. For defining the number of clusters in a clustering algorithm, WSS is plotted for a range pertaining to a number of clusters. The resultant graph is known as the Elbow Curve. The Elbow Curve graph contains a point that represents the point post in which there aren?�t any decrements in the WSS. This is known as the bending point and represents K in K?�Means. Although the aforementioned is the widely-used approach, another important approach is hierarchical clustering. In this approach, dendrograms are created first and then distinct groups are identified from there.",,,,,,,,,
125,What do you know about Autoencoders?,Autoencoders are simplistic learning networks used for transforming inputs into outputs with minimal possible error. It means that the output?�s results are very close to the inputs. A couple of layers are added between the input and the output with the size of each layer smaller than the size pertaining to the input layer. An autoencoder receives unlabeled input that is encoded for reconstructing the output.,,,,,,,,,
126,What is GAN?,"The Generative Adversarial Network takes inputs from the noise vector and sends them forward to the Generator, and then to Discriminator, to identify and differentiate unique and fake inputs.",,,,,,,,,
127,What are the components of GAN?,"There are two vital components of GAN. These are: Generator: The Generator acts as a Forger, which creates fake copies Discriminator: The Discriminator acts as a recognizer for fake and unique (real) copies",,,,,,,,,
128,What is Pollingin CNN?,Polling is a method that is used to reduce the spatial dimensions of a CNN. It helps downsample operations for reducing dimensionality and creating pooled feature maps. Pooling in CNN helps in sliding the filter matrix over the input matrix.,,,,,,,,,
129,What is RNN?,"Recurrent Neural Networks are an artificial neural network that is a sequence of data, including stock markets, sequence of data including stock markets, time series, and various others. The main idea behind the RNN application is to understand the basics of the feedforward nets.",,,,,,,,,
130,"Let?�s say you maintains a backup on regular basis for the company you are working. The backups are maintained in Compressed file format. You need to examine a log, two months old. What would you suggest without decompressing the compressed file?","To check the contents of a compressed file without the need of decompressing it, we need to use ?�zcat?? The zcat utility makes it possible to view the contents of a compressed file.",,,,,,,,,
131,You need to track events on your system. What will you do?,"For tracking the events on the system, we need a daemon called syslogd. The syslogd daemon is useful in tracking the information of system and then saving it to specified log files.",,,,,,,,,
132,How will you restrict IP so that the restricted IP?�s may not use the FTP Server?,We can block suspicious IP by integrating tcp_wrapper. We need to enable the parameter ?�tcp_wrapper=YES??in the configuration file at ??etc/vsftpd.conf?? And then add the suspicious IP in the ?�host.deny??file at location ??etc/host.deny??,,,,,,,,,
133,Tell us the difference between Telnet and SSH?,"Telnet and SSH both are communication protocol which are used to manage remote system. SSH is Secured, which requires exchanging of key opposite of telnet which transmit data in plain text, which means telnet is less secure than SSH.",,,,,,,,,
134,"You need to stop your X server. When you tries to kill your X server, You got an error message that you cannot quit X server. What will you do?","When killing a X server, it won?�t work normal way like doing ??etc/init.d/gdm stop?? We need to execute a special key combination ?�Ctrl+ Alt+ Back Space??which will force X server to restart.",,,,,,,,,
135,What is the difference between command ?�ping??and ?�ping6??,Both the commands are same and used for the same purpose except that the fact that ping6 is used with ipv6 IP address.,,,,,,,,,
136,You want to search for all the *.tar files in your Home directory and wants to delete all at once. How will you do it?,We need to use find command with rm command to delete all ??tar??files.,,,,,,,,,
137,What is the difference between locate and slocate command?,The slocate looks for the files that user have access whereas locate will search for the file with updated result.,,,,,,,,,
138,You need to search for the string ?�Tecmint??in all the ??txt??files in the current directory. How will you do it?,"We need to run the fine command to search for the text ?�Tecmint??in the current directory, recursively.",,,,,,,,,
139,You want to send a message to all connected users as ?�Server is going down for maintenance?? what will you do?,This can be achieved using the wall command. The wall command sends a message to all connected users on the sever.,,,,,,,,,
140,"What?�s a Windows profile? When would you delete one, and what gets deleted?","If you?�re looking for someone to do desktop support, they should have at least a vague idea of where the user?�s data can be stored. Bonus points if they can explain where common application settings are stored, what the Registry is, and how roaming profiles work.",,,,,,,,,
141,"When an end user says a file went missing, what do you do?","End users delete files all the time, but before you recover it from backup, first do a search on the drive to make sure they didn?�t drag & drop it to another folder. (Normally I don?�t give interview answers here, but that one?�s an exception.) Then, after they explain that, I?�d ask them to cover things like VSS snapshots, end user recovery in Explorer and how to restore from their favorite backup program.",,,,,,,,,
142,How do you recover one SQL Server database or one Exchange mailbox?,"Different backup systems have different ways of dealing with this, so I may not be able to vet their exact answer if I haven?�t used the same backup system they?�re using. However, I can do a pretty good job of sniffing out when someone doesn?�t understand the complexities involved. If they shrug and just say ?�I click restore and it?�s done,??then they?�re bluffing. For example, when restoring an Exchange mailbox, do you really want to pave over every email the user has received since the last backup? Or does the user just need one or two important emails pulled out of the archive?",,,,,,,,,
143," If you get hired and you can pick any laptop, what do you get?","I wanna see ?�em get all excited. I wanna see ?�em giddy with glee at the thought of picking out their own shiny new hardware. The more excited they get, the more I know systems administration is a way of life for them, not just a hobby.",,,,,,,,,
144, What?�s the first software you?�d install?,"Hardcore sysadmins have their own favorite tools they like to use. Listen with an open mind, too ??the more sysadmins you interview, the more cool tools you?�ll discover. If they mention a tool you haven?�t used before, drill into it. Find out why they use it and how it saves them time. If it?�s a tool they?�re passionate enough to mention, then they can probably describe some underlying concepts and technologies involved, and it?�ll give you more confidence that they know what they?�re doing.",,,,,,,,,
145,What do the letters PST mean to you?,I want to know if they?�ve experienced the pains (both technical and legal) involved with these files. How do they back up PST files if the end user leaves their laptop online all the time? Are there any size concerns with PST files? Is there a good way to use PSTs?,,,,,,,,,
146,"What?�s PowerShell, and how do you feel about it?","I don?�t necessarily need PowerShell experience (although it?�s a big plus for Windows sysadmins) but I want to know that they?�re at least vaguely aware of the concept and what it means. Bonus points if they can relate scripting to the *nix world, and if they bring up Windows Core.",,,,,,,,,
147,Are you involved with any local user groups?,"Be it Windows or just a hardware hacker group, I love candidates who love communities. I like seeing someone get so involved in what they do that they seek out other people who share similar interests.",,,,,,,,,
148,What is RDBMS?,"Relational Data Base Management Systems (RDBMS) are database management systems that maintain data records and indices in tables. Relationships may be created and maintained across and among the data and tables. In a relational database, relationships between data items are expressed by means of tables. Interdependencies among these tables are expressed by data values rather than by pointers. This allows a high degree of data independence. An RDBMS has the capability to recombine the data items from different files, providing powerful tools for data usage.",,,,,,,,,
149,What are the properties of the Relational tables?,Relational tables have six properties: 1. Values are atomic. 2. Column values are of the same kind. 3. Each row is unique. 4. The sequence of columns is insignificant. 5. The sequence of rows is insignificant. 6. Each column must have a unique name.,,,,,,,,,
150,What is Database Normalization?,"Database normalization is a data design and organization process applied to data structures based on rules that help building relational databases. In relational database design, the process of organizing data to minimize redundancy is called normalization. Normalization usually involves dividing a database into two or more tables and defining relationships between the tables. The objective is to isolate data so that additions, deletions, and modifications of a field can be made in just one table and then propagated through the rest of the database via the defined relationships.",,,,,,,,,
151,What is De-normalization?,"De-normalization is the process of attempting to optimize the performance of a database by adding redundant data. It is sometimes necessary because current DBMSs implement the relational model poorly. A true relational DBMS would allow for a fully normalized database at the logical level, while providing physical storage of data that is tuned for high performance. De-normalization is a technique to move from higher to lower normal forms of database modeling in order to speed up database access.",,,,,,,,,
152,What is Python? What are the benefits of using Python?,"Python is a programming language with objects, modules, threads, exceptions, and automatic memory management. The benefits of pythons are that it is simple and easy, portable, extensible, build-in data structure, and it is open-source.",,,,,,,,,
153,What is PEP 8?,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable.",,,,,,,,,
154,What is pickling and unpickling?,Pickle module accepts any Python object and converts it into a string representation and dumps it into a file by using dump function. This process is called pickling. While the process of retrieving original Python objects from the stored string representation is called unpickling.,,,,,,,,,
155,How is Python interpreted?,"Python language is an interpreted language. Python program runs directly from the source code. It converts the source code that is written by the programmer into an intermediate language, which is again translated into machine language that has to be executed.",,,,,,,,,
156, How is memory managed in Python?,"Python memory is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have an access to this private heap, and the interpreter takes care of this Python private heap. The allocation of Python heap space for Python objects is done by the Python memory manager. The core API gives access to some tools for the programmer to code. Python also has an inbuilt garbage collector, which recycles all the unused memory and frees the memory and makes it available to the heap space.",,,,,,,,,
157,What are the tools that help to find bugs or perform the static analysis?,PyChecker is a static analysis tool that detects the bugs in Python source code and warns about the style and complexity of the bug. Pylint is another tool that verifies whether the module meets the coding standard.,,,,,,,,,
158, What are Python decorators?,A Python decorator is a specific change that we make in Python syntax to alter functions easily.,,,,,,,,,
159,What is the difference between list and tuple?,"The difference between list and tuple is that list is mutable while tuple is not. Tuple can be hashed, for example., as a key for dictionaries.",,,,,,,,,
160,How are arguments passed by value or by reference?,"Everything in Python is an object, and all variables hold references to the objects. The reference values are according to the functions. Therefore, you cannot change the value of the references. However, you can change the objects if it is mutable.",,,,,,,,,
161,What is Dict and List comprehensions are?,They are syntax constructions to ease the creation of a Dictionary or List based on existing iterable.,,,,,,,,,
162, Explain namespace in Python,"In Python, every name introduced has a place where it lives and can be hooked for. This is known as a namespace. It is like a box where a variable name is mapped to the object placed. Whenever the variable is searched out, this box will be searched to get the corresponding object.",,,,,,,,,
163,What is lambda in Python?,It is a single expression anonymous function often used as inline function.,,,,,,,,,
164,Why lambda forms in python do not have statements?,A lambda form in python does not have statements as it is used to make new function object and then return them at runtime.,,,,,,,,,
165, Explain pass in Python,"Pass means no-operation Python statement, or in other words, it is a place holder in a compound statement, where there should be a blank left, and nothing has to be written there.",,,,,,,,,
166, In Python what are iterators?,"In Python, iterators are used to iterate a group of elements, containers like a list.",,,,,,,,,
167,What is the unittest in Python?,"A unit testing framework in Python is known as unittest. It supports sharing of setups, automation testing, shutdown code for tests, aggregation of tests into collections, etc.",,,,,,,,,
168,Explain slicing in Python?,"A mechanism to select a range of items from sequence types like list, tuple, strings etc., is known as slicing.",,,,,,,,,
169,What are generators in Python?,The way of implementing iterators are known as generators. It is a normal function except that it yields expression in the function.,,,,,,,,,
170, What is docstring in Python?,"A Python documentation string is known as docstring, it is a way of documenting Python functions, modules, and classes.",,,,,,,,,
171, How can you copy an object in Python?,"To copy an object in Python, you can try a copy.copy () or copy.deepcopy() for the general case. You cannot copy all objects but most of them.",,,,,,,,,
172, What is negative index in Python?,"Python sequences can be index in positive and negative numbers. For positive index, 0 is the first index, 1 is the second index, and so forth. For the negative index, (-1) is the last index, and (-2) is the second last index, and so forth.",,,,,,,,,
173,How can you convert a number to a string?,"In order to convert a number into a string, use the inbuilt function str(). If you want a octal or hexadecimal representation, use the inbuilt function oct() or hex().",,,,,,,,,
174,What is the difference between xrange and range?,Xrange returns the xrange object while range returns the list and uses the same memory and no matter what the range size is.,,,,,,,,,
175,What is module and package in Python?,"In Python, module is the way to structure a program. Each Python program file is a module, which imports other modules like objects and attributes. The folder of Python program is a package of modules. A package can have modules or subfolders.",,,,,,,,,
176, What are the rules for local and global variables in Python?,"Here are the rules for local and global variables in Python: Local variables: If a variable is assigned a new value anywhere within the function?�s body, it?�s assumed to be local. Global variables: Those variables that are only referenced inside a function are implicitly global.",,,,,,,,,
177,How can you share global variables across modules?,"To share global variables across modules within a single program, create a special module. Import the config module in all modules of your application. The module will be available as a global variable across modules.",,,,,,,,,
178, Explain how can you make a Python Script executable on Unix?,"To make a Python Script executable on Unix, you need to do two things, Script file?�s mode must be executable, and the first line must begin with # ( #!/usr/local/bin/python)",,,,,,,,,
179, Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename),,,,,,,,,
180,What is the use of // operator in Python?,"It is a Floor Divisionoperator, which is used for dividing two operands with the result as a quotient showing only digits before the decimal point. For instance, 10//5 = 2 and 10.0//5.0 = 2.0.",,,,,,,,,
181,Mention five benefits of using Python,"Here are the five benefits of using Python: Python comprises of a huge standard library for most Internet platforms like Email, HTML, etc. Python does not require explicit memory management as the interpreter itself allocates the memory to new variables and free them automatically Provide easy readability due to use of square brackets Easy-to-learn for beginners Having the built-in data types saves programming time and effort from declaring variables",,,,,,,,,
